index,rating
index_0,1.0
index_1,5.0
index_2,5.0
index_3,1.0
index_4,1.0
index_5,1.0
index_6,1.0
index_7,5.0
index_8,1.0
index_9,5.0
index_10,1.0
index_11,5.0
index_12,1.0
index_13,1.0
index_14,5.0
index_15,5.0
index_16,5.0
index_17,1.0
index_18,5.0
index_19,5.0
index_20,5.0
index_21,5.0
index_22,5.0
index_23,5.0
index_24,1.0
index_25,5.0
index_26,1.0
index_27,5.0
index_28,1.0
index_29,5.0
index_30,5.0
index_31,1.0
index_32,5.0
index_33,1.0
index_34,5.0
index_35,1.0
index_36,1.0
index_37,1.0
index_38,1.0
index_39,1.0
index_40,5.0
index_41,5.0
index_42,5.0
index_43,1.0
index_44,1.0
index_45,5.0
index_46,1.0
index_47,1.0
index_48,1.0
index_49,1.0
index_50,5.0
index_51,1.0
index_52,1.0
index_53,5.0
index_54,5.0
index_55,5.0
index_56,5.0
index_57,1.0
index_58,1.0
index_59,1.0
index_60,5.0
index_61,1.0
index_62,5.0
index_63,5.0
index_64,5.0
index_65,5.0
index_66,5.0
index_67,5.0
index_68,5.0
index_69,5.0
index_70,5.0
index_71,5.0
index_72,5.0
index_73,1.0
index_74,5.0
index_75,5.0
index_76,5.0
index_77,1.0
index_78,5.0
index_79,1.0
index_80,1.0
index_81,5.0
index_82,5.0
index_83,5.0
index_84,5.0
index_85,5.0
index_86,5.0
index_87,5.0
index_88,5.0
index_89,5.0
index_90,5.0
index_91,5.0
index_92,5.0
index_93,5.0
index_94,5.0
index_95,5.0
index_96,5.0
index_97,5.0
index_98,5.0
index_99,1.0
index_100,1.0
index_101,1.0
index_102,1.0
index_103,1.0
index_104,1.0
index_105,5.0
index_106,5.0
index_107,1.0
index_108,5.0
index_109,5.0
index_110,1.0
index_111,5.0
index_112,5.0
index_113,5.0
index_114,5.0
index_115,5.0
index_116,1.0
index_117,5.0
index_118,1.0
index_119,5.0
index_120,1.0
index_121,1.0
index_122,5.0
index_123,5.0
index_124,1.0
index_125,1.0
index_126,5.0
index_127,1.0
index_128,5.0
index_129,5.0
index_130,5.0
index_131,5.0
index_132,5.0
index_133,5.0
index_134,5.0
index_135,1.0
index_136,5.0
index_137,1.0
index_138,1.0
index_139,5.0
index_140,1.0
index_141,1.0
index_142,1.0
index_143,1.0
index_144,1.0
index_145,1.0
index_146,5.0
index_147,5.0
index_148,1.0
index_149,5.0
index_150,5.0
index_151,1.0
index_152,5.0
index_153,5.0
index_154,1.0
index_155,5.0
index_156,5.0
index_157,1.0
index_158,1.0
index_159,1.0
index_160,1.0
index_161,5.0
index_162,5.0
index_163,1.0
index_164,1.0
index_165,5.0
index_166,5.0
index_167,5.0
index_168,1.0
index_169,1.0
index_170,5.0
index_171,1.0
index_172,5.0
index_173,5.0
index_174,5.0
index_175,5.0
index_176,1.0
index_177,5.0
index_178,1.0
index_179,1.0
index_180,1.0
index_181,5.0
index_182,5.0
index_183,1.0
index_184,5.0
index_185,5.0
index_186,5.0
index_187,1.0
index_188,5.0
index_189,5.0
index_190,5.0
index_191,5.0
index_192,1.0
index_193,1.0
index_194,5.0
index_195,1.0
index_196,5.0
index_197,1.0
index_198,1.0
index_199,5.0
index_200,5.0
index_201,1.0
index_202,5.0
index_203,1.0
index_204,1.0
index_205,5.0
index_206,1.0
index_207,1.0
index_208,5.0
index_209,1.0
index_210,1.0
index_211,5.0
index_212,5.0
index_213,1.0
index_214,1.0
index_215,1.0
index_216,5.0
index_217,1.0
index_218,1.0
index_219,1.0
index_220,5.0
index_221,1.0
index_222,1.0
index_223,5.0
index_224,5.0
index_225,1.0
index_226,5.0
index_227,1.0
index_228,5.0
index_229,5.0
index_230,5.0
index_231,5.0
index_232,1.0
index_233,5.0
index_234,5.0
index_235,1.0
index_236,5.0
index_237,5.0
index_238,1.0
index_239,5.0
index_240,1.0
index_241,5.0
index_242,5.0
index_243,1.0
index_244,1.0
index_245,5.0
index_246,1.0
index_247,5.0
index_248,5.0
index_249,1.0
index_250,5.0
index_251,5.0
index_252,1.0
index_253,1.0
index_254,1.0
index_255,1.0
index_256,5.0
index_257,5.0
index_258,5.0
index_259,1.0
index_260,5.0
index_261,5.0
index_262,5.0
index_263,1.0
index_264,5.0
index_265,1.0
index_266,5.0
index_267,1.0
index_268,1.0
index_269,5.0
index_270,1.0
index_271,5.0
index_272,5.0
index_273,1.0
index_274,5.0
index_275,5.0
index_276,5.0
index_277,5.0
index_278,1.0
index_279,5.0
index_280,1.0
index_281,5.0
index_282,5.0
index_283,5.0
index_284,5.0
index_285,1.0
index_286,1.0
index_287,5.0
index_288,1.0
index_289,5.0
index_290,1.0
index_291,5.0
index_292,5.0
index_293,5.0
index_294,1.0
index_295,1.0
index_296,1.0
index_297,5.0
index_298,5.0
index_299,5.0
index_300,1.0
index_301,1.0
index_302,5.0
index_303,1.0
index_304,1.0
index_305,1.0
index_306,1.0
index_307,1.0
index_308,5.0
index_309,5.0
index_310,5.0
index_311,1.0
